"№","Код","name","size","palletSize","weight","opt","price"
"183","З-00328","Крышка заборная  50х25х5 Элит (0,7%- 960, 0,3%- 420)","Поддон 120*80","70","12","256.65","295"
"184","З-01129","Крышка заборная  50х25х5 Элит (0.8%-420)","Поддон 120*80","70","12","256.65","295"
"185","З-00416","Крышка заборная  50х25х5 Элит (1%-420, 0,3%-960)","Поддон 120*80","70","12","256.65","295"
"186","З-00419","Крышка заборная  50х25х5 Элит (2% - 420)","Поддон 120*80","70","12","256.65","295"
"187","З-00343","Крышка заборная  50х25х5 Элит (2% - 503)","Поддон 120*80","70","12","256.65","295"
"188","З-00899","Крышка заборная  50х25х5 Элит (2%-130)","Поддон 120*80","70","12","256.65","295"
"","","Крышка заборная 40х17х5 двускатная","","","","",""
"189","З-00764","Крышка заборная 40х17х5 двускатная серый","Поддон 120*80","98","6.75","82.65000000000001","95"
"190","З-00765","Крышка заборная 40х17х5 двускатная бежевый № 960","Поддон 120*80","98","6.75","99.18000000000001","114"
"191","З-00766","Крышка заборная 40х17х5 двускатная Белый","Поддон 120*80","98","6.75","132.24","152"
"192","З-00767","Крышка заборная 40х17х5 двускатная коричневый № 655","Поддон 120*80","98","6.75","99.18000000000001","114"
"193","З-00768","Крышка заборная 40х17х5 двускатная красн № 130","Поддон 120*80","98","6.75","99.18000000000001","114"
"194","З-00769","Крышка заборная 40х17х5 двускатная оливковый 420","Поддон 120*80","98","6.75","99.18000000000001","114"
"195","З-00770","Крышка заборная 40х17х5 двускатная терракота 503","Поддон 120*80","98","6.75","99.18000000000001","114"
"196","З-00771","Крышка заборная 40х17х5 двускатная черный № 330","Поддон 120*80","98","6.75","99.18000000000001","114"
"197","З-00788","Крышка заборная 40х17х5 двускатная Элит (0.8%-420)","Поддон 120*80","98","6.75","153.12","176"
"198","З-00778","Крышка заборная 40х17х5 двускатная Элит (1%-420, 0,3%-960)","Поддон 120*80","98","6.75","153.12","176"
"199","З-00772","Крышка заборная 40х17х5 двускатная Элит (2% - 420)","Поддон 120*80","98","6.75","153.12","176"
"200","З-00773","Крышка заборная 40х17х5 двускатная Элит (2% - 503)","Поддон 120*80","98","6.75","153.12","176"
"201","З-00774","Крышка заборная 40х17х5 двускатная Элит (2%-130)","Поддон 120*80","98","6.75","153.12","176"
"202","З-00802","Крышка заборная 40х17х5 двускатная Элит (2%-960)","Поддон 120*80","98","6.75","153.12","176"
"","","Крышка заборная 40х17х5 закругленная","","","","",""
"203","П-00008","Крышка заборная 40х17х5 закругл серый","Поддон 120*80","145","5","82.65000000000001","95"
"204","Д-00004","Крышка заборная 40х17х5 закругл бежевый № 960","Поддон 120*80","145","5","99.18000000000001","114"
"205","Д-00005","Крышка заборная 40х17х5 закругл Белый","Поддон 120*80","145","5","132.24","152"
"206","Д-00006","Крышка заборная 40х17х5 закругл коричневый № 655","Поддон 120*80","145","5","99.18000000000001","114"
"207","Д-00009","Крышка заборная 40х17х5 закругл красн № 130","Поддон 120*80","145","5","99.18000000000001","114"
"208","Д-00010","Крышка заборная 40х17х5 закругл оливковый 420","Поддон 120*80","145","5","99.18000000000001","114"
"209","Д-00011","Крышка заборная 40х17х5 закругл терракота 503","Поддон 120*80","145","5","99.18000000000001","114"
"210","Д-00012","Крышка заборная 40х17х5 закругл черный № 330","Поддон 120*80","145","5","99.18000000000001","114"
"211","З-00691","Крышка заборная 40х17х5 закругл Элит (1%-420, 0,3%-960)","Поддон 120*80","145","5","153.12","176"
"212","З-00159","Крышка заборная 40х17х5 закругл Элит (2% - 503)","Поддон 120*80","145","5","153.12","176"
"","","Крышка заборная 40х22х6","","","","",""
"213","З-00937","Крышка заборная 40х22х6 серый","Поддон 120*80","70","6.75","130.5","150"
"214","З-00947","Крышка заборная 40х22х6 бежевый № 960","Поддон 120*80","70","6.75","156.6","180"
"215","З-00939","Крышка заборная 40х22х6 Белый","Поддон 120*80","70","6.75","214.02","246"
"216","З-00938","Крышка заборная 40х22х6 коричневый № 655","Поддон 120*80","70","6.75","156.6","180"
"217","З-01148","Крышка заборная 40х22х6 Элит (0.8%-420)","Поддон 120*80","70","6.75","251.43","289"
"218","З-01077","Крышка заборная 40х22х6 Элит (1%-420, 0,3%-960)","Поддон 120*80","70","6.75","251.43","289"
"219","З-00940","Крышка заборная 40х22х6 Элит (2% - 420)","Поддон 120*80","70","6.75","251.43","289"
"220","З-01029","Крышка заборная 40х22х6 Элит (2% - 503)","Поддон 120*80","70","6.75","251.43","289"
"","","Крышка заборная 40х30х6 фигурная","","","","",""
"221","З-01025","Крышка заборная фигурная 40х30х6 серый","Поддон 120*80","56","13","159.21","183"
"222","З-01110","Крышка заборная фигурная 40х30х6 бежевый № 960","Поддон 120*80","56","13","201.84","232"
"223","З-01111","Крышка заборная фигурная 40х30х6 Белый","Поддон 120*80","56","13","258.39","297"
"224","З-01126","Крышка заборная фигурная 40х30х6 коричневый № 655","Поддон 120*80","56","13","201.84","232"
"225","З-01112","Крышка заборная фигурная 40х30х6 элит (2% - 503)","Поддон 120*80","56","13","283.62","326"
"","","Крышка заборная 50х35х9 двускатная","","","","",""
"226","З-00019","Крышка заборная 50х35х9 двускатная серый","Поддон 120*80","32","23.75","243.6","280"
"227","З-00037","Крышка заборная 50х35х9 двускатная бежевый № 960","Поддон 120*80","32","23.75","279.27","321"
"228","М-00004","Крышка заборная 50х35х9 двускатная Белый","Поддон 120*80","32","23.75","368.01","423"
"229","З-00123","Крышка заборная 50х35х9 двускатная коричневый № 655","Поддон 120*80","32","23.75","279.21","321"
"230","З-00032","Крышка заборная 50х35х9 двускатная красн № 130","Поддон 120*80","32","23.75","279.27","321"
"231","З-00020","Крышка заборная 50х35х9 двускатная оливковый 420","Поддон 120*80","32","23.75","279.27","321"
"232","З-00033","Крышка заборная 50х35х9 двускатная терракота 503","Поддон 120*80","32","23.75","279.27","321"
"233","З-00779","Крышка заборная 50х35х9 двускатная черный № 330","Поддон 120*80","32","23.75","279.27","321"
"234","З-00423","Крышка заборная 50х35х9 двускатная Элит (1%-420, 0,3%-960)","Поддон 120*80","32","23.75","403.68","464"
"235","З-00421","Крышка заборная 50х35х9 двускатная Элит (2% - 420)","Поддон 120*80","32","23.75","403.68","464"
"236","З-00454","Крышка заборная 50х35х9 двускатная Элит (2% - 503)","Поддон 120*80","32","23.75","403.68","464"
"","","Крышка отлив  39х10х5","","","","",""
"237","З-00696","Крышка отлив 39х10х5 серый","Поддон 120*80","168","3.51","58.29","67"
"","","Крышка столба 40х40","","","","",""
"238","Ц-00079","_Крышка столба 40х40 серый","Поддон 120*80","20","19","208.8","240"
"239","Ц-00084","Крышка столба 40х40 бежевый № 960","Поддон 120*80","20","19","243.6","280"
