Наименование товаров,Тара,в пал.,Вес,Цена
Крышка столба 40х40 коричневый № 655,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40 кофе+молоко F8000,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40 красн № 130,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40 оливковый № 420,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40 терракот № 503,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40 черный № 330,Поддон 120*80,20,19,"280,00"
"Крышка столба 40х40 Элит (0,1%-420)",Поддон 120*80,20,19,"384,00"
"Крышка столба 40х40 Элит (0,3%-420)",Поддон 120*80,20,19,"384,00"
"Крышка столба 40х40 Элит (0,7%-960, 0,3%-420)",Поддон 120*80,20,19,"384,00"
Крышка столба 40х40 Элит (0.8%-420),Поддон 120*80,20,19,"384,00"
"Крышка столба 40х40 Элит (1%-420, 0,3%-960)",Поддон 120*80,20,19,"384,00"
Крышка столба 40х40 элит (2% - 420),Поддон 120*80,20,19,"384,00"
Крышка столба 40х40 Элит (2% -503),Поддон 120*80,20,19,"384,00"
Крышка столба 40х40 Элит (2%-130),Поддон 120*80,20,19,"384,00"
Крышка столба 40х40 Элит (2%-960),Поддон 120*80,20,19,"384,00"
Крышка столба 40х40 колотая,,,,
_Крышка столба 40х40 колотая серый (базовый),Поддон 120*80,42,21.75,"338,00"
Крышка столба 40х40 колотая бежевый № 960,Поддон 120*80,42,21.75,"389,00"
Крышка столба 40х40 колотая Белый,Поддон 120*80,42,21.75,"458,00"
Крышка столба 40х40 колотая коричневый № 655,Поддон 120*80,42,21.75,"389,00"
Крышка столба 40х40 колотая кофе+молоко F8000,Поддон 120*80,42,21.75,"389,00"
Крышка столба 40х40 колотая красн № 130,Поддон 120*80,42,21.75,"389,00"
Крышка столба 40х40 колотая оливковый № 420,Поддон 120*80,42,21.75,"389,00"
Крышка столба 40х40 колотая терракот № 503,Поддон 120*80,42,21.75,"389,00"
Крышка столба 40х40 колотая черный № 330,Поддон 120*80,42,21.75,"389,00"
"Крышка столба 40х40 колотая элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,42,21.75,"508,00"
"Крышка столба 40х40 колотая элит (1%-420, 0,3%-960)",Поддон 120*80,42,21.75,"508,00"
Крышка столба 40х40 колотая элит (2% - 420),Поддон 120*80,42,21.75,"508,00"
Крышка столба 40х40х6 плоская,,,,
_Крышка столба 40х40х6 плоская серый (базовый),Поддон 120*80,20,19,"240,00"
Крышка столба 40х40х6 плоская бежевый № 960,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40х6 плоская Белый,Поддон 120*80,20,19,"331,00"
Крышка столба 40х40х6 плоская элит (2% - 503),Поддон 120*80,20,19,"384,00"
Крышка столба 50х50,,,,
_Крышка столба 50х50 серый (базовый),Поддон 120*80,10,33.8,"297,00"
Крышка столба 50х50 бежевый № 960,Поддон 120*80,10,33.8,"366,00"
